alpha,width,tc,th,protocol,tau,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
2.2,0.5,0.015587995106625372,0.12544672886053862,smooth_b,40,0.0035514489410136685,0.005910701851340572,-0.0023592529103269033,0.6008506316738316,0.003552462157473794,4.3922674874963263e-07,5.739897112055914e-07,1.012408949964696e-06,5.54689420812243e-07,4.993082220161836e-07,0.10423340614284957,1.2787409975345554e-07,3.913634480011506e-26,-1.704365815147213e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,smooth_b,80,0.0035524458210158816,0.005911133995567863,-0.0023586881745519817,0.6009753498532577,0.003552462157473794,7.0825214582015406e-09,9.253936283926123e-09,1.632664194058698e-08,8.946769228685125e-09,8.052400169581305e-09,0.10419373240936108,2.8005609331582804e-07,3.913634480011506e-26,-1.704365815147213e-16
2.6,0.5,0.0061944801692219355,0.04821766925026458,linear_J,0,-0.03991631946786556,-0.012700876704957564,-0.027215442762907993,,0.001524724126808466,0.014611263338197678,0.02682978025647642,0.028253212227086523,0.016447136527379485,0.015114995678535385,4.656906159690673,1.6653345369377348e-15,6.346299838785945e-57,7.632783294297951e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,linear_J,5,-0.0017644942654380658,0.00038207616800994826,-0.002146570433448014,,0.001524724126808466,0.001528310465230165,0.0017609079270164418,0.0029029132410473496,0.0017031139063550355,0.0015534345168242319,0.3386055646171798,3.407085724660419e-11,6.346299838785945e-57,7.502679033599691e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,linear_J,10,0.00032891750902247496,0.0013798123401844165,-0.0010508948311619415,0.23837843701159686,0.001524724126808466,0.0005305742930556967,0.0006652323247303693,0.0011548372481644327,0.0006733380340297943,0.0006178528915466005,0.1410338832846326,1.9213797219919115e-10,6.346299838785945e-57,7.502679033599691e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,linear_J,20,0.0013732642333232903,0.0018424420866095526,-0.00046917785328626227,0.7453500130635641,0.001524724126808466,6.79445466305606e-05,8.351534685469009e-05,0.00013875287229880523,7.920871075625217e-05,7.418028638787915e-05,0.03753034729031812,1.299824581302289e-09,6.346299838785945e-57,7.502679033599691e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,linear_J,40,0.0014349647976258373,0.0018701235515846681,-0.00043515875395883086,0.767310157882299,0.001524724126808466,4.026308165544501e-05,4.9496247527258674e-05,8.331718446707077e-05,4.84453505186861e-05,4.4571491015158e-05,0.03146441262568857,9.769237863110902e-09,6.346299838785945e-57,7.502679033599691e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,linear_J,80,0.001518736375955454,0.0019076907112828279,-0.0003889543353273739,0.7961124761855022,0.001524724126808466,2.6959219572852966e-06,3.2918288958017072e-06,4.783063446473383e-06,2.7173025698521453e-06,2.556706736525603e-06,0.023226330313850983,6.566441057564987e-08,6.346299838785945e-57,7.502679033599691e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,smooth_b,0,-0.03991631946786556,-0.012700876704957564,-0.027215442762907993,,0.001524724126808466,0.014611263338197678,0.02682978025647642,0.028253212227086523,0.016447136527379485,0.015114995678535385,4.656906159690673,1.6653345369377348e-15,6.346299838785945e-57,7.632783294297951e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,smooth_b,5,-0.009495726651521041,-0.002820087653879144,-0.006675638997641897,,0.001524724126808466,0.004730474287119257,0.006289976491210325,0.01052708981151741,0.006171361629190769,0.0056332026384331895,1.136162019184255,3.0533099382168416e-09,6.346299838785945e-57,7.45931094670027e-17
